driver,max_jerk_all,max_jerk_excl_guard,p95_jerk_all,n_steps,n_excluded_steps
baseline_unguarded,4.231655120849609,4.231655120849609,0.9119244575500477,1865,0
sac_seed0,8.070281386375427,4.629538510674095,1.447096824645995,1877,36
sac_seed1,11.254534244537354,4.72393998944149,1.3424073219299317,1925,39
sac_seed2,10.337136507034302,4.758718243980816,1.7545815706253052,1886,52
