scenario_seed,guarded_fuel_mL,unguarded_fuel_mL,fuel_ratio,guarded_guard_a1,guarded_guard_a4,guarded_guard_rate,guarded_jerk,unguarded_jerk
500,94.34389713838668,90.96741430957307,1.0371174981111702,0,15,0.0635593220338983,10.613481521606445,2.988046884536743
501,73.20227318358677,72.57237759033545,1.0086795501837769,3,3,0.03314917127071823,10.317098617553711,3.0664470195770264
502,69.29429291620202,69.29429291620202,1.0,0,0,0.0,3.241112470626831,3.241112470626831
503,86.74540399723229,84.20448754877248,1.0301755467247287,0,13,0.06372549019607843,10.6404447555542,3.262155055999756
504,76.96755817166375,75.71020644379276,1.0166074270158603,0,3,0.017341040462427744,10.084283828735352,3.549053907394409
505,73.37818887366862,72.78309225456782,1.008176303048782,0,4,0.02197802197802198,7.9894280433654785,4.231655120849609
506,95.21093866562993,78.70518137800808,1.2097162727870152,2,2,0.019704433497536946,10.996992800770386,3.038205146789551
507,93.30223975901038,90.94953271831372,1.0258682696917574,2,10,0.04979253112033195,10.710271835327148,3.4333009719848633
508,75.96053163256458,75.96053163256458,1.0,0,0,0.0,3.7048137187957764,3.7048137187957764
509,84.45837498680223,81.90875588058957,1.031127552589489,0,12,0.05687203791469194,10.59371280670166,3.2385494709014893
