#{"t_start": 1783876858.8035107, "env_id": "None"}
r,l,t
95.933417,117,780.106314
-54.821655,214,784.754601
59.298902,130,787.670051
72.348362,131,790.626124
-138.769592,240,795.996295
-105.988852,261,802.440137
-37.70763,179,806.101085
-206.042,100,808.025181
-64.473854,208,811.962631
-143.245024,262,817.769732
-81.063386,180,821.299531
-55.492784,194,825.049148
-116.634103,262,831.16929
-97.559546,219,835.844372
-233.438036,283,841.619115
-212.61411,264,846.703575
70.186135,118,848.983987
-83.358208,216,853.152486
-222.923198,300,859.000663
-113.558633,264,864.348835
-113.668188,202,868.071721
99.885732,109,870.283869
95.850272,110,872.423218
-132.908178,202,876.400077
-146.738695,272,881.997202
-115.853829,219,886.339502
-128.837323,216,890.76127
-202.895921,287,896.445927
104.157724,103,898.426753
-158.439276,210,902.392369
63.54343,133,905.112085
97.785757,108,907.252868
-104.271219,248,912.328404
-116.364688,243,917.549444
-165.475506,229,922.940661
-57.925248,192,927.18903
-119.227894,238,932.384119
-147.592173,245,937.543266
-112.509563,201,942.192996
-124.171302,216,946.937094
-85.977044,204,952.238038
69.630059,144,956.153123
-78.975421,203,961.038987
18.078054,158,965.013866
-232.141264,265,975.309896
-85.511801,224,981.019415
64.686476,139,984.463573
-131.261166,212,988.784712
96.261039,110,991.253513
64.866491,141,994.165452
89.781491,108,996.494911
-284.959572,320,1003.936028
-165.772267,276,1010.577561
-221.585549,303,1017.81903
-52.557865,202,1022.368949
-137.611183,217,1026.603739
-104.106233,189,1030.710243
-175.794402,251,1039.174621
-75.047447,211,1045.016345
-37.6862,173,1048.574619
-201.892093,320,1054.88222
75.826062,132,1057.29804
-91.238416,196,1061.019297
-133.538189,261,1066.791235
-73.965781,213,1071.461553
88.177818,113,1073.66996
-92.552482,255,1078.785939
-139.501864,264,1084.270254
-37.575678,194,1088.949796
-22.699189,164,1093.161779
-226.188968,314,1101.172172
-193.120042,268,1106.828363
-67.912605,183,1110.872421
-103.890226,196,1115.696818
-137.679475,267,1121.690828
-53.306048,198,1125.940411
-174.691506,228,1131.923746
-67.71628,179,1135.829456
-97.052879,197,1141.183562
-142.824633,228,1147.983174
-94.728017,212,1155.670597
-125.50594,199,1160.814017
-197.039183,280,1168.119593
-99.824691,198,1172.804314
-135.032659,213,1180.063652
-301.229694,220,1187.898785
-24.261559,171,1193.619572
91.603485,118,1196.72061
-103.198871,222,1201.890225
-209.444606,259,1207.956568
-161.435633,238,1213.877047
-78.750697,245,1222.276852
-163.183922,267,1228.106483
-136.565503,201,1232.928411
75.347277,142,1236.057095
-137.967481,216,1240.841267
75.738941,128,1243.929891
-267.068036,139,1247.274724
-149.634152,257,1253.147296
-268.988138,138,1255.839787
102.074481,110,1258.003866
-138.785211,241,1264.93807
-57.094485,215,1271.13879
107.168796,103,1273.514684
-111.101275,228,1278.534875
-203.390712,31,1279.182026
-58.465252,249,1284.61903
-155.297556,261,1290.092939
-238.409555,320,1296.751331
-97.694375,222,1301.222131
-74.966334,193,1305.938258
-91.712684,193,1311.081994
-257.228293,134,1314.681175
-119.048956,250,1320.772133
-78.863215,165,1324.152782
-79.248197,228,1329.249703
-28.825388,160,1332.553423
-212.748545,282,1338.618599
90.107603,106,1341.272099
-120.501921,193,1345.268226
-105.196273,259,1350.651881
-141.289219,248,1355.945102
95.636093,118,1358.418093
-87.333017,220,1363.90051
99.609058,106,1366.51732
97.682362,104,1368.722526
-131.019204,223,1374.386984
-140.758448,223,1378.995281
-35.079747,189,1383.195961
-109.549199,220,1388.223119
-123.647746,271,1393.81815
-68.523758,206,1398.711482
108.716679,103,1402.599486
-155.024643,276,1408.569411
-315.292659,196,1413.408595
-185.411736,255,1419.109832
-171.860768,240,1424.598267
47.069553,154,1428.097208
-95.799947,194,1432.371417
-57.545339,195,1436.659683
-143.67312,220,1440.986607
-240.749223,134,1443.632886
87.008787,128,1446.258388
-227.123757,257,1454.719578
-112.938701,239,1460.143173
98.72075,109,1462.869203
-91.866866,234,1468.101765
-57.665284,200,1472.354061
95.165349,112,1474.664361
-95.516932,194,1479.216263
-114.211958,226,1484.537114
-247.053753,320,1490.979938
-214.804223,50,1492.003778
-69.647476,226,1497.139943
-245.167045,134,1500.481466
-119.026215,234,1505.77104
-138.204034,278,1511.742268
90.774249,126,1514.093742
-60.472754,224,1518.481324
94.371428,116,1520.992068
-101.840285,245,1525.781997
-178.997098,255,1530.628103
99.789026,104,1533.02423
-168.557879,262,1538.289521
-196.525368,224,1542.557769
-67.165236,220,1546.833717
-230.651094,250,1552.100921
90.949064,129,1554.61217
81.831078,140,1557.254561
-104.995271,221,1561.455781
100.361381,107,1563.53758
-122.427798,226,1568.059384
-33.861986,186,1571.517073
-41.875467,196,1575.208357
-172.21672,234,1580.132386
-49.956314,203,1584.309926
-58.431731,202,1588.370738
-253.841446,320,1594.631195
-58.231586,209,1598.543761
-84.327438,212,1602.520847
-245.671617,320,1608.700798
-102.966202,218,1613.154135
-51.107753,194,1616.795968
-249.507898,168,1620.027554
94.034326,119,1622.242781
-200.609257,302,1627.949195
103.431255,106,1630.146397
-179.267436,267,1635.228663
-86.911428,236,1639.680557
-58.777118,239,1644.344146
-154.191925,308,1650.180065
-91.201936,237,1657.773631
-159.549386,267,1663.06845
92.860787,131,1665.697077
91.095766,132,1668.458297
79.886804,145,1671.980813
96.351348,104,1673.984285
