#{"t_start": 1783930416.1586635, "env_id": "None"}
r,l,t
-290.848558,215,714.639906
-296.995846,254,717.735142
19.059543,151,719.459706
-248.24124,233,722.122339
-328.984768,279,725.441001
-234.328903,211,727.853379
-409.684313,260,732.707306
-1028.914615,48,733.253488
60.8589,107,734.463179
-7.753016,144,736.120216
45.452551,121,737.491442
-552.586951,320,741.141791
-435.571264,305,744.626127
-421.151477,312,748.37195
-309.509912,248,751.218929
-290.308921,229,753.880324
-1021.896462,50,754.495301
77.706134,106,755.768846
-343.469893,257,758.71628
-296.747084,263,761.714878
70.846859,110,762.957283
-156.267418,195,765.166029
7.341717,153,766.995362
-529.479436,320,770.635687
-230.026634,205,772.96457
-421.323764,285,776.377747
9.044138,149,778.154295
-330.087575,236,780.949513
-356.54612,253,783.874427
-446.719301,300,787.288971
-281.518413,219,789.762865
23.114085,135,791.294862
-461.744321,316,794.914069
-301.115786,275,798.05076
-175.007881,175,800.046868
-227.13195,210,802.427034
-401.313851,288,805.742207
-175.687407,194,808.172073
74.24184,110,809.495631
-377.194233,270,812.57804
-172.997581,181,814.672589
-292.321371,236,817.375134
-298.094941,267,820.402664
-288.102253,225,823.015124
16.612617,118,824.35683
-438.218753,306,827.840815
11.859062,154,829.583303
-177.176573,178,831.615498
-327.339351,247,834.423209
-345.696968,247,837.43328
-222.217471,193,839.639466
-369.364108,267,842.666212
-365.28109,271,845.750841
16.508643,118,849.294491
-196.335924,207,851.658125
-394.95442,265,854.663055
-347.841446,285,857.907547
-194.645065,202,860.20975
-333.101555,273,863.310664
-349.328226,266,866.508817
-366.963711,283,869.923257
-234.757029,241,872.793204
-147.335487,192,875.100207
-494.467464,308,878.631274
-230.151397,220,881.127182
71.327542,105,882.333074
76.464936,104,883.51246
-305.199655,270,886.598655
-581.792662,320,890.243679
-279.609969,244,893.086468
-233.339478,205,895.464041
-467.909732,308,899.231287
-363.984706,283,902.448033
-384.894668,290,905.75423
-128.765552,178,907.788083
