policy_seed,scenario_seed,both_arrived,fuel_base_mL,fuel_sac_mL,fuel_delta_pct
0,500,True,90.96741430957307,95.63537630275256,5.131466062445011
0,501,False,72.57237759033545,41.243246189610616,
0,502,True,69.29429291620202,70.59270140663392,1.8737596355908686
0,503,True,84.20448754877248,90.52566701208804,7.506938937968406
0,504,False,75.71020644379276,39.81022195263891,
0,505,False,72.78309225456782,39.819864847107226,
0,506,True,78.70518137800808,78.48536617499636,-0.2792893671840785
0,507,False,90.94953271831372,49.531559300205615,
0,508,True,75.96053163256458,65.14365676070491,-14.240125285303334
0,509,True,81.90875588058957,76.5986235602545,-6.4829849547177005
1,500,True,90.96741430957307,91.62867308561886,0.7269182938359013
1,501,False,72.57237759033545,42.74498870625321,
1,502,True,69.29429291620202,69.12220124139431,-0.24834898743512496
1,503,True,84.20448754877248,97.9672032634445,16.344396973736654
1,504,True,75.71020644379276,99.28823316359235,31.142467874927693
1,505,False,72.78309225456782,40.77685481562867,
1,506,True,78.70518137800808,75.1022393164378,-4.577769847535113
1,507,False,90.94953271831372,52.96663173957983,
1,508,True,75.96053163256458,76.76208979876316,1.0552298002281804
1,509,True,81.90875588058957,79.37923955216142,-3.088212366594595
2,500,True,90.96741430957307,93.66919916414427,2.9700578774028927
2,501,False,72.57237759033545,43.42745716531394,
2,502,True,69.29429291620202,71.20483612715991,2.7571436702129475
2,503,True,84.20448754877248,91.09003236903895,8.177170861919047
2,504,True,75.71020644379276,100.27783733233031,32.449562671284696
2,505,False,72.78309225456782,40.22822020815353,
2,506,True,78.70518137800808,84.55250925840494,7.429406524474043
2,507,False,90.94953271831372,52.05138689861622,
2,508,True,75.96053163256458,62.042679175405496,-18.322479000650446
2,509,True,81.90875588058957,83.81264863373288,2.3244068752782603
