#{"t_start": 1784372339.1991096, "env_id": "None"}
r,l,t
-38.429151,141,0.094541
-428.436871,232,0.249859
-141.046384,180,0.336443
-326.212487,235,0.480586
-480.589607,274,0.649242
-542.886023,317,0.847358
-217.822596,247,0.969012
-541.194157,273,1.124294
-497.536699,275,1.288823
-222.613806,252,1.407003
-390.702577,218,1.539601
-655.680548,320,1.730186
-200.587568,234,1.84063
-522.337151,270,2.005064
-518.542333,253,2.155811
-523.397789,313,2.334657
-451.587188,254,2.484761
-423.784706,232,2.631529
-620.007626,311,2.830089
-668.238442,320,4.991117
-632.598694,320,9.343878
-638.834646,320,13.813173
-311.514622,320,18.181745
-574.439449,320,22.539268
-524.7715,320,26.927742
-481.401041,320,31.514195
-86.128501,319,35.876686
-357.46632,297,39.952914
-320.700849,309,43.816205
-350.371725,288,47.300917
-329.45052,275,50.627267
-289.811518,270,53.93765
-411.71476,307,57.659926
-184.630356,193,60.228051
-232.963813,222,62.922163
-189.616086,203,65.386626
-361.100038,320,72.249719
-293.052953,246,75.608115
-12.433938,229,78.72405
-152.544139,196,81.402499
-208.993178,202,84.189094
40.303344,163,86.406141
3.09554,200,89.440038
-148.77467,237,92.70853
-215.986713,204,95.523856
16.814113,184,98.005279
-172.296336,219,101.011083
-192.542696,212,103.869362
59.186455,166,106.116563
0.937359,224,109.171692
-10.000338,225,112.399549
-274.028914,267,115.717628
-129.433943,226,118.57798
-285.90655,273,122.009264
-133.799819,220,124.669675
-196.152639,260,127.822022
-215.361382,292,131.391439
68.042952,121,132.849939
-93.829627,223,135.550018
-193.993469,231,138.356064
-234.489686,239,141.251583
-241.693324,282,144.664294
71.082074,174,146.748203
-272.428857,225,149.702728
-201.96743,206,152.270835
-22.506254,185,154.766445
-118.135032,232,157.916709
-135.297585,215,160.859329
-152.606071,187,163.444406
-120.248759,229,166.590532
25.163507,226,169.623711
65.91907,180,172.050575
-201.063908,184,174.498706
-155.210069,212,177.080888
-184.913416,206,179.798759
-269.272508,279,183.190918
-93.968273,198,185.595853
3.718963,223,188.261223
-134.429967,206,190.83094
-129.193882,185,193.152421
-179.454022,263,196.330718
-224.452972,256,199.49238
-214.827977,277,205.87897
-182.518385,257,209.643777
27.223545,154,211.728374
-151.559225,267,215.374268
-285.77773,313,219.781806
-144.138642,284,223.647353
-114.385455,214,226.568243
-60.873065,171,228.907678
32.280084,199,231.591764
-141.466109,202,234.397742
56.579139,138,236.271263
-283.970558,318,240.927039
-108.466308,216,243.917281
-233.347175,284,247.571405
-87.856025,197,249.959241
47.904738,157,251.862701
-330.121213,320,255.728957
-113.556719,252,258.783664
-190.761018,222,261.476787
-160.4777,258,265.044858
-73.167395,183,267.296297
-174.793848,266,270.741854
-52.459178,219,273.38211
-175.142703,238,276.275334
-139.238497,193,278.610715
-224.306828,253,281.685598
-107.793615,259,284.914158
57.201627,145,286.657271
-167.941335,232,289.470938
-176.022944,217,292.097987
-108.052681,180,294.311679
-121.968565,194,296.677065
-117.712614,225,299.606806
49.910192,137,301.264319
-175.960174,198,303.672942
-34.847338,206,306.165299
-205.653615,259,309.300837
-147.055667,247,312.320671
-209.197299,211,314.901341
-199.157988,255,317.98189
-132.069564,193,320.331662
-187.775786,219,322.981568
-138.868913,185,325.236736
-169.325214,204,327.714046
-131.511752,269,331.203116
-85.287044,217,337.035061
-169.063255,211,339.953035
-189.661693,236,343.201173
-147.329363,248,346.613684
-136.366775,239,349.894293
-128.849698,254,353.457935
-160.436743,187,356.019315
-187.741686,241,359.543494
73.505771,104,361.002266
-208.046462,260,364.587724
-166.405036,202,367.37747
-62.76595,225,370.470984
-120.521832,273,374.263768
-211.447645,277,377.814267
-86.356198,212,381.06968
-32.684173,184,383.375877
-198.087567,221,386.068924
-58.384959,175,388.211991
-203.740142,229,391.247628
-88.411732,226,393.965877
-68.348673,254,397.025298
-107.945087,241,399.939761
67.213269,173,402.007494
74.68604,158,403.887264
-101.887037,254,406.972224
-58.916053,203,409.431726
-166.504399,253,412.512619
-180.511946,197,414.9329
-113.617153,247,417.905953
-156.740409,281,421.547469
-61.010943,211,424.091122
-62.810637,199,426.494723
-149.976971,228,429.255548
-55.441846,218,431.914541
-155.488365,195,434.27572
-110.989716,235,437.111609
-82.805529,230,439.889449
-79.324863,153,441.733111
-45.645476,186,443.986806
-149.661704,209,446.505658
-74.979685,236,449.535799
-75.068477,258,452.644593
-135.564989,270,455.889881
-141.930033,251,458.925052
-296.791545,320,465.780113
65.392663,106,467.211503
-134.103744,196,469.85759
-131.412397,199,472.566496
74.198194,135,474.398752
-51.346128,214,477.326746
-136.961047,214,480.463643
81.937837,153,482.545757
-175.09059,231,485.724657
64.877215,110,487.197128
-150.540207,203,490.038407
-44.185718,204,492.864058
-69.395888,235,496.070782
-169.529498,250,499.485822
-87.295729,186,502.034456
57.199122,178,504.453018
79.588687,105,505.898404
-110.085439,227,508.90638
-100.984757,250,511.987309
-170.518076,207,514.480407
-167.599365,237,517.339461
-135.534875,205,519.80952
-143.711385,202,522.260829
-30.702408,172,524.349976
-197.930635,215,526.944074
47.48024,151,528.746032
-172.010268,320,532.623316
-117.66982,209,535.200748
72.266241,108,536.491643
22.803253,186,538.899717
-116.75913,222,541.65764
-202.327106,275,545.003535
-143.33393,259,548.117786
-166.626114,306,551.837303
-51.615974,199,554.247425
-134.462302,208,556.760676
-145.248889,202,559.188221
-0.518659,183,561.379997
-156.824443,212,563.940744
67.546741,180,566.109574
-28.782261,191,568.515666
-178.991033,256,571.731472
-93.303245,266,574.936136
-229.803646,246,577.909546
-134.388263,256,581.011289
-215.15456,260,584.251311
-161.477483,217,586.878412
-194.406295,294,590.414703
59.345242,122,594.665031
77.966183,103,596.059218
62.72388,104,597.455514
-174.01299,214,600.597573
-35.568687,176,603.00611
57.208548,127,604.700075
-63.139901,213,607.596797
63.258949,157,609.720759
67.326638,109,611.220045
-119.887027,246,614.609332
-163.303251,212,617.50436
-112.53637,248,620.933378
-51.924649,205,623.735619
-16.470504,186,626.262881
-177.932635,279,630.383289
-62.809068,206,633.380693
28.86181,178,636.017204
-8.161628,183,638.486314
-193.710805,235,641.331242
-185.778655,261,644.481318
-247.129221,278,647.843552
-157.121827,220,650.503664
39.808326,160,652.407299
-171.692031,305,656.11208
-133.260726,216,658.824696
-115.348491,229,661.674447
-72.634181,249,664.680698
-114.03531,214,667.265858
-130.628719,250,670.282071
-132.702425,246,673.276911
-27.057924,175,675.391536
-79.390914,278,678.742192
-105.293543,250,681.761915
-125.539739,218,684.404933
-124.668555,265,687.646388
-334.151546,320,691.738554
-3.767089,164,693.718934
75.984714,112,695.058439
-171.623997,268,698.291161
-184.752032,253,701.362219
-72.399989,219,704.008082
-178.723658,236,706.957373
-108.199545,210,709.504953
-196.4199,231,712.306752
-82.57378,272,715.64161
-284.75783,281,719.229521
-31.393482,185,721.491489
-76.110725,237,727.635786
-29.049433,218,730.659684
-97.383961,206,733.458692
-129.222889,199,736.194833
-12.490233,193,738.835668
-116.974444,193,741.46568
-100.094188,171,743.834288
74.185103,109,745.338108
-137.388918,233,748.72365
72.39699,178,751.263788
-110.860107,247,754.616228
-49.353491,237,757.926048
-171.68112,238,761.195809
-47.462425,198,763.942571
-144.944061,237,767.131454
-65.491399,206,769.617298
-217.872624,303,773.262287
1.709333,187,775.570108
-39.690714,226,778.3372
-301.114947,320,782.373549
-107.062734,268,785.610385
-158.340363,233,788.423311
-118.443055,207,790.958778
-136.015138,197,793.349665
-154.900805,242,796.28191
-14.679401,175,798.438275
-83.877536,245,801.395702
-113.210168,218,804.019979
-131.892443,235,806.888825
-154.231574,257,810.219454
60.884473,156,812.100973
-148.572733,267,815.306747
-144.918893,237,818.174535
-148.91518,216,820.785823
76.637235,132,822.420405
-148.786014,243,825.363567
-81.587885,191,827.679893
-182.805109,254,830.756546
-74.733058,226,833.484072
-50.587779,196,835.924017
-27.632195,210,838.560358
-41.282581,210,841.288343
-111.468043,200,843.718708
-117.600553,202,846.169941
-90.703363,238,849.044074
-68.662084,243,852.003432
-150.499311,246,858.366673
-73.693825,185,860.909612
-69.046128,186,863.4296
-108.759655,229,866.550855
-65.128698,191,869.429722
-0.16194,171,871.794862
-164.968536,210,874.684369
-46.030483,190,877.310271
-90.600581,268,880.985214
-205.980493,281,884.932554
76.043772,116,886.504239
69.374003,104,887.928881
-190.41105,249,891.332912
-84.279453,199,894.075759
66.382638,177,896.517613
