timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-163.0734376026121,74.88984502977911,120.5,3.125,7.690296217799187
20000,-162.10077281903796,79.7405486423711,116.6875,5.25,10.349640793593501
30000,-156.701494226043,87.26879825936057,112.5,20.0,11.245322898030281
40000,-33.730867226578994,71.11794075761927,100.5,3.375,6.358982804225205
50000,-81.8674432655389,78.94452146065612,106.6875,4.75,7.872668474912643
60000,-59.58499942428534,83.61740798770388,111.3125,3.375,7.233743712306023
70000,-73.91200523213774,77.32966107146768,99.0625,17.75,7.030605673789978
80000,-115.03558019310367,90.47471506216814,130.1875,18.625,8.596134290099144
90000,-30.889625157637056,83.48797626319171,106.4375,5.375,8.301660031065529
100000,-83.81007423642586,87.59939953651954,117.5625,8.125,8.296471491456032
110000,-75.02459600764996,88.18630389275769,109.4375,5.375,7.394956514719688
120000,-43.57587365092331,73.01706833926592,107.25,6.875,5.660827666521072
130000,-49.11486494864221,81.30654587254985,104.25,10.625,6.384773720798627
140000,-91.62080273912579,85.50910883626771,113.25,14.5,7.124221608042717
150000,-6.138551382415244,68.77213517104948,87.5625,10.5,5.15153181552887
160000,-93.2118365932509,80.69195325247296,110.0,6.875,6.520898401737213
170000,9.750766742061387,69.83939023315534,94.25,4.375,4.333495482691449
180000,-61.90308710097452,87.75817598890018,125.6875,9.75,7.784020557999611
190000,-63.08067673361438,81.20936402397984,103.125,3.875,5.8575704246759415
200000,-17.543831363366735,74.95765575005578,98.125,3.0,5.884148186285131
210000,44.15984706820018,63.15640399943389,82.0625,0.125,3.2697165262145864
220000,-82.4761087069005,80.47863662517351,109.4375,16.5,7.135338649153709
230000,-32.47100001981744,71.4334028956736,98.0,3.625,6.016769900918007
240000,-105.98123749593651,83.91471181195934,118.0,17.125,8.742646645221072
250000,-99.60983281453082,84.21725070303107,110.375,12.5,6.920684248209
260000,-85.42649408508623,82.71425062871678,107.3125,5.5,6.403067474725413
270000,-103.95779382784531,83.58743690515853,125.5,11.625,7.459302365779877
280000,-86.07876266149651,83.48460677794739,118.375,11.625,7.096696898341179
290000,-1.3401884464301475,68.57072872802289,88.25,3.875,4.819141194224358
300000,-36.562108485915815,82.37281765538685,111.125,2.375,7.61760652838665
310000,-43.871830267649784,83.87295288254157,107.375,3.0,6.430851633249194
320000,-50.6867644018057,86.19346206410088,112.6875,1.375,6.662595704197884
330000,-18.53221424249932,70.28922927331709,95.5,4.375,5.176907015519293
340000,-94.40007145524669,85.57608072232884,111.75,4.5,7.319914004442104
350000,-74.60271946414287,79.76855920032705,111.4375,8.125,6.725457805121623
360000,-45.38444676146173,80.00928767399577,106.75,5.875,7.091046184301376
370000,-84.13571144938032,86.81255916695812,123.625,12.125,7.956404892587505
380000,-59.3880805626286,77.98711697638281,103.125,7.375,6.481514543294907
390000,-65.95610493431263,76.25573209402528,112.0625,15.375,6.128441964145363
400000,-103.76642037824877,87.07207618221628,120.6875,12.125,7.837849244651573
410000,-13.242129229260172,66.73430677841309,96.6875,7.75,4.5820464342832565
420000,-24.622787063751275,73.03131122998985,103.3125,6.5,5.002511659029668
430000,10.388004521728476,67.11763262903733,91.1875,4.875,4.028440430760384
440000,-19.723047770559788,66.2319561845143,91.3125,5.0,5.822806645208798
