#{"t_start": 1784452060.756074, "env_id": "None"}
r,l,t
-204.927617,250,5.770114
-446.096853,243,6.081027
-571.434424,305,6.412488
-286.929504,208,6.614582
-577.61647,316,6.883368
-527.423389,293,7.150186
-630.543151,320,7.428246
-204.386551,241,7.621314
-451.463676,228,7.834249
-445.162456,239,8.056773
-488.416369,281,8.300019
-280.448222,308,8.522455
-220.347983,242,8.683569
-281.403423,298,8.909709
-696.456677,320,9.187287
-513.408019,255,9.484162
-326.089534,182,9.742563
-484.668495,249,10.0487
-520.169793,290,12.9956
-666.89744,320,24.649639
-611.597235,320,37.031184
-605.095895,320,48.559147
-567.668476,320,59.273421
-212.294521,320,69.666759
-541.830607,320,80.677454
-558.43028,320,91.690095
-477.399587,320,102.685253
-507.997942,320,113.132712
-488.350798,320,123.912812
-455.995118,320,135.14382
-342.495281,300,145.453638
-419.600385,319,156.119481
-365.132609,275,165.671058
20.11605,215,172.490606
-311.503444,265,181.024714
-321.507964,255,195.691444
82.250489,119,199.597901
-315.473319,257,208.89746
-302.852672,292,218.600209
42.697618,190,225.292838
-251.345422,240,233.072964
-187.510696,221,240.636498
-155.74036,192,247.085762
-234.491769,211,254.473782
-207.279682,206,261.548833
-233.214214,224,268.862746
-337.379224,271,277.700171
-231.974024,235,286.116305
61.108062,183,291.948159
83.876501,108,295.369415
57.984096,178,302.375127
-227.783737,230,309.989717
-219.821966,229,317.126678
-238.79507,241,324.063052
-211.184067,229,330.664821
50.54938,134,334.412398
-277.166784,248,342.076447
-147.653277,215,348.410202
-349.010056,298,357.010883
-208.976743,225,365.091623
65.319478,168,370.25975
-288.294144,238,377.708489
79.882225,123,381.206132
-10.789043,224,387.739295
-124.86905,184,393.030243
-166.737518,194,398.665019
48.184324,190,404.960093
87.241463,108,408.039259
-267.322059,237,414.886807
42.080232,181,420.056437
-222.484446,265,427.802593
-227.768905,253,435.706861
-126.6162,182,440.938115
-198.338564,217,447.268996
-173.012468,227,453.79157
-193.929082,222,461.106716
-229.377158,254,468.645268
-201.606043,222,474.972514
-220.131269,248,482.114248
-213.208797,247,489.519413
63.346049,112,493.330214
68.567088,110,496.571429
-199.617267,230,508.272691
-170.349299,223,515.563968
-261.211876,261,524.666595
-232.722334,219,531.646795
43.667902,153,536.596273
-192.098522,249,546.208673
32.305244,149,551.277123
-126.696056,166,557.0306
-173.086948,233,564.953112
30.943837,143,569.618288
-166.110055,203,576.214097
62.49161,121,580.169333
-175.420743,238,588.487847
-204.301568,233,595.909665
-231.637411,261,604.549079
59.403078,138,609.056135
-109.386914,183,616.06873
-235.812828,243,624.461832
-140.964068,203,630.983318
-187.662826,206,637.770849
-236.154437,266,646.154519
-175.839664,226,652.618243
35.67414,165,657.28928
-129.731579,229,663.940937
-223.830749,279,672.625312
-225.864329,250,679.834037
-185.870917,219,686.158174
-182.651159,225,692.62968
-199.196353,231,699.26121
69.530649,110,702.994029
-170.713948,205,708.905248
-235.446492,244,715.987028
-134.712719,197,721.67066
-215.678954,237,728.595171
-204.427149,293,737.723438
70.718284,111,740.8612
-209.209382,230,747.750564
-171.755187,223,754.166548
-228.714851,268,762.74065
-177.513413,243,769.910628
-117.94672,221,776.202932
-231.169828,263,783.867207
42.827473,164,788.638968
-210.534459,263,796.996924
-138.063527,216,803.343929
-233.108859,262,811.34584
48.414017,162,816.000122
-182.488842,259,828.500422
-12.370912,165,833.982188
-113.334803,188,840.231703
91.384281,110,843.782918
-123.713174,225,851.345635
-167.797232,247,859.793924
-324.126163,320,870.6662
-164.969007,239,878.576288
-201.124142,258,887.629548
-175.267136,262,896.267973
-155.01139,226,903.685393
48.009389,142,908.443063
-142.788863,260,917.453903
-220.883065,258,925.867444
-113.035251,188,932.419024
-191.618925,233,939.823577
61.097549,147,944.556552
-202.685711,236,951.296196
-155.836301,257,958.794058
69.879828,138,962.811778
-242.385479,260,970.503497
70.239894,111,974.104546
-88.623626,204,979.88664
-211.310479,254,987.066271
69.017658,111,990.272934
-116.373763,208,996.259772
44.397837,143,1000.481109
-193.877942,261,1008.587713
-185.184866,239,1015.664162
-104.145768,208,1021.713762
-103.656549,264,1029.475583
-153.820235,191,1035.583631
-129.800161,225,1042.140207
-124.860205,174,1047.205832
63.828574,129,1050.947167
-119.517019,227,1057.584127
-186.760303,207,1064.047085
-83.529345,194,1069.588632
-73.705661,179,1074.720751
-179.70291,232,1081.785918
76.650333,116,1085.140075
-148.650703,261,1093.312982
-141.51688,220,1099.655713
64.368218,135,1103.676198
-145.388656,205,1109.81325
-164.58079,261,1117.334055
84.407315,117,1120.820123
-178.517246,287,1129.430441
-264.363924,238,1140.958917
-155.350651,230,1149.010841
-162.445324,239,1157.423313
-159.357425,200,1164.161716
77.726527,117,1167.916801
-281.60338,320,1178.165063
80.672963,119,1182.461428
