#{"t_start": 1784349425.7295291, "env_id": "None"}
r,l,t
-204.927617,250,0.207805
-446.096853,243,0.384034
-571.434424,305,0.581852
-286.929504,208,0.735534
-577.61647,316,0.94132
-527.423389,293,1.137259
-630.543151,320,1.348619
-204.386551,241,1.476208
-451.463676,228,1.633174
-445.162456,239,1.799478
-488.416369,281,1.980902
-280.448222,308,2.146746
-220.347983,242,2.268763
-281.403423,298,2.433927
-696.456677,320,2.646471
-513.408019,255,2.817483
-326.089534,182,2.948316
-484.668495,249,3.121537
-520.266321,290,4.366139
-666.033198,320,9.699061
-611.700644,320,14.906937
-606.81977,320,20.111081
-565.392139,320,25.590356
-206.760436,320,31.51387
-542.045619,320,37.224077
-524.092884,320,42.437085
-402.080175,320,47.636405
-477.254353,320,52.845548
-509.264434,320,58.322462
-456.289822,320,63.537836
-310.128656,290,68.260376
-371.975864,297,73.104995
-13.79839,247,77.111736
-368.318821,286,81.760004
-277.445833,237,85.621732
-286.460074,240,93.83794
-337.097351,294,98.807933
12.368889,216,102.604423
-225.607253,293,107.775005
58.666992,173,110.812649
30.372556,202,114.034165
-217.245876,213,117.754864
-179.467668,203,121.04732
26.929648,214,124.447989
-260.226917,232,128.191082
-215.500444,222,131.751246
-147.263509,180,134.652471
-169.771221,228,138.318013
-250.95905,272,142.656682
-184.007946,211,146.138484
-234.971955,220,149.817694
-115.121968,162,152.411391
63.960516,164,155.056034
-285.929401,286,159.714071
54.46986,167,162.386175
-202.469644,225,165.987482
-184.520233,206,169.307297
-233.747543,236,173.367344
57.956306,163,176.450627
62.389349,143,179.046155
30.155607,205,182.619803
-213.586804,207,186.122033
-181.353571,276,190.583414
-159.005815,229,194.372755
-192.057092,243,198.280524
-125.404564,185,201.266846
-147.057138,198,204.474231
90.602267,107,206.285139
-261.252601,256,210.501975
-281.912161,272,214.883091
-177.801226,227,218.553612
-168.41624,192,221.654819
-101.064897,179,224.508627
49.430101,116,226.339381
-190.922258,211,229.738507
-114.548301,232,233.495439
-144.421591,248,237.76963
-154.749518,188,240.816601
-193.667977,244,244.851847
-141.271742,197,248.35206
-102.389186,187,251.654525
-212.568449,250,256.07216
27.888281,164,262.091362
-187.884432,280,266.789021
4.659104,179,269.674941
-215.392518,272,274.06672
-184.039424,263,278.316151
-120.332961,193,281.404786
31.309297,169,284.11318
-194.721628,260,288.292898
-94.384891,177,291.163642
-263.095187,218,294.68396
-143.826318,217,298.436514
-227.108946,230,302.12421
32.48022,181,305.063075
-152.477748,215,318.499281
33.77244,142,320.876523
-96.569953,210,325.320871
-152.447842,226,329.814132
-186.790066,208,336.594468
-281.600278,270,343.821356
-123.440118,207,349.404638
27.053824,161,352.576916
34.856054,153,356.412091
-201.922491,243,388.358287
-208.31353,241,394.718771
-186.120481,233,399.422461
-240.473138,236,404.05072
94.151691,106,406.053452
68.709039,114,412.066335
30.411891,174,415.850135
-127.271742,196,419.604589
-93.097408,210,423.022232
-218.026573,232,426.951658
-233.740696,238,430.728877
-175.792832,235,434.408973
-123.846185,223,438.603509
84.098565,109,440.2724
-229.027092,277,444.372592
52.907932,145,446.493248
-177.545989,271,450.603106
-166.150409,204,453.584674
-200.706314,277,457.594261
-138.87772,234,460.96953
-185.595848,258,464.999763
-133.900453,238,468.816789
-241.216647,231,472.835992
-234.954661,299,478.051626
-196.824316,217,481.472731
-124.772108,181,487.480475
-150.26605,255,491.233032
-6.496087,169,493.650309
-111.460501,186,496.324853
94.934305,110,497.929978
-148.033765,224,501.14453
-172.268602,247,504.808475
-339.865647,320,509.938793
-186.581528,241,513.713274
-239.558701,258,517.503081
-182.962917,264,521.375436
-167.353722,228,524.674672
69.759256,154,526.921099
-214.037725,263,530.725372
-217.028404,259,534.456619
-135.177852,191,537.382286
-170.835298,231,540.734843
-224.919491,237,544.362007
-152.477913,256,548.431801
-242.184407,251,552.397747
-92.77783,204,555.530797
-190.475537,300,559.853372
-124.767631,232,563.211938
-230.446592,262,567.153278
-142.434284,217,570.354547
-155.588936,195,573.191263
49.859699,158,575.446647
-157.845292,274,579.425795
75.520135,110,581.014727
-107.256464,192,583.798965
-127.175485,223,587.011909
-86.502871,169,589.483852
66.682012,132,591.343379
-137.904358,228,594.634882
-191.797726,204,597.756965
-92.437669,195,600.643806
-62.123817,186,603.372264
-52.000581,223,606.609949
78.030248,115,608.216172
