timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-214.7391793609022,69.45675799936154,140.0625,20.125,8.379847549169742
20000,-113.53955365520233,78.52603708891634,98.0,6.5,8.853475855290776
30000,-126.73144386405875,87.01376807549616,103.5,14.75,8.524319782853127
40000,-96.81178481632378,81.14684560002613,104.4375,7.0,7.5228657750927015
50000,-88.21429956822249,87.49667159434449,103.75,6.75,7.230641454458237
60000,-84.05571840800985,87.49035693743261,104.9375,5.0,7.778369086333038
70000,-146.96262561491358,91.72288805704943,123.5625,8.75,9.370983943781187
80000,-71.2627266421041,87.61371175677209,114.8125,7.125,6.500298710913772
90000,-77.98973746578122,83.40959372891663,114.1875,4.375,7.185713589927326
100000,-7.7714207789249485,73.24483076509452,99.4375,2.125,5.629172638058662
110000,-69.62751322063377,84.26626685991576,116.9375,5.875,7.159675419399243
120000,-69.43008289467252,81.2836553050989,104.6875,8.625,7.169167941527483
130000,-71.38341094663701,87.4183673516017,124.8125,2.375,6.721120163798332
140000,-144.22140747388767,88.71057260990028,125.1875,15.625,8.435360137320469
150000,-45.527732010879845,81.84439225305489,95.9375,2.875,6.590783583715479
160000,-19.951275356088445,75.15308496347379,108.3125,3.625,6.055768758058548
170000,-79.8673026051747,78.33075631152303,111.1875,10.75,7.378429368138313
180000,-18.927077454991377,75.26988605917883,97.6875,4.625,5.373306949908496
190000,-68.61292289667472,78.97046728937462,102.875,3.875,7.708773568272591
200000,-68.2167273188279,83.271232858326,110.125,3.125,6.2605143785476685
210000,-13.15667952504009,71.25526147885061,105.0,3.0,4.656645861421175
220000,-29.488387184675958,73.15016637268015,101.75,4.375,4.343389582562688
230000,-51.89955388133603,73.31285965847682,102.75,6.625,5.904958205142357
240000,-100.83766849872336,85.85065370705294,116.625,6.375,7.273643068696833
250000,-43.149278596298245,71.89594816809527,90.625,4.5,5.255990124015552
260000,-41.98991380287225,75.10007031597259,100.875,6.375,5.5694980697152445
270000,3.927915363048669,65.407161196733,88.25,6.625,4.684593107609517
280000,-52.67174114245677,77.46312139639078,99.5,2.625,5.812744319697144
290000,-28.45753956992212,75.71778391264179,94.375,8.5,5.4558622390031815
300000,0.3138110473087181,73.99504310896984,99.375,0.75,4.3203108459711075
310000,-57.596448063108255,85.66415385846501,112.125,3.0,6.2419530280444135
320000,-51.178455883289644,80.57519924996308,113.8125,2.25,6.305216650010836
330000,-61.432577499042964,79.59156974134636,112.0625,8.875,6.580081358551979
340000,-104.9844200911939,78.15915949222973,107.125,9.25,6.408185228705406
350000,-29.00459896569555,68.17914230399097,88.25,1.875,4.970364395330208
360000,-20.04010485492836,76.42923733301132,98.125,2.0,4.868109626938676
370000,-8.651654110923118,66.67705694379951,86.25,3.5,4.111933884051098
380000,8.501094715393265,66.48140178948657,84.3125,3.75,4.314249128103256
390000,-46.95732348288948,74.8201152708492,109.25,1.625,4.812916234970894
400000,-38.52120844688034,73.09634782748799,108.3125,8.125,4.714709430932999
