timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-121.3386920299381,62.39080356064649,73.0625,3.75,3.0168275237083435
20000,-34.417430937697645,78.05152858307535,88.625,2.125,3.2768141924913934
30000,-109.08062839805734,48.56473046173035,55.375,0.0,2.7194673120975494
40000,-29.07460678742791,85.08601741732932,107.125,3.625,2.78151049241257
50000,-89.67567787154985,70.1760935288114,78.3125,0.0,2.725137710571289
60000,-75.82792939108913,83.26091738738955,95.875,2.25,2.744688868522644
70000,-102.20848192701669,77.91661940959258,86.1875,3.625,3.5578848157212395
80000,-3.896943922694959,77.13506120250531,90.0625,3.75,3.304502660280118
90000,-85.03698774696386,70.1084024912756,77.5625,1.0,2.6593876118785955
100000,-82.2947314173216,69.48185928725633,85.5625,3.25,3.192661973158641
110000,-63.09178021866319,68.52237548674134,76.375,3.875,3.2532256458830107
120000,-84.57251027574239,61.493706650125006,68.0,3.0,3.4546226061412995
130000,-40.033375258724845,81.34636626549958,92.9375,2.875,2.8381615425147393
140000,-88.30991567373923,67.74888287153891,72.0,0.125,2.82530477643013
150000,-46.52458254904195,69.15026096361119,78.6875,1.0,2.6499699166299777
160000,-41.42988554565818,58.51315392976519,68.875,0.0,2.441485163160656
170000,-39.72656616847962,62.68768392366427,75.625,0.25,2.696870131080316
180000,-68.91792178336436,69.63675717703796,95.0,4.375,3.0183886833374327
190000,-35.07640037688543,78.44775779147864,98.5625,1.75,2.968915801812444
200000,-55.40671170127462,70.11466665633553,79.0625,0.75,2.952459111809731
210000,-54.3182717117852,66.41153423223867,79.125,0.5,2.6755998730659485
220000,-64.25225063050311,62.59719778595189,70.625,0.0,2.6227721571922302
230000,-34.64372607793484,90.02309155153614,114.75,2.375,3.123561504776733
240000,-110.17182034958387,57.14576039026861,65.5625,0.875,2.9800523655570066
250000,-24.04391889780527,70.93595823110103,89.4375,1.875,2.761489987373352
260000,-13.197200024311314,72.61185498288626,80.75,2.5,2.458868199140664
270000,-106.79754473038702,68.14812346682295,90.6875,2.0,3.715004906194885
280000,-24.29141537607211,72.92879379990526,85.625,1.75,3.108365045039932
290000,14.711683164793158,75.11927167917759,89.0,3.5,2.329038785645677
300000,-101.33910408192969,73.9868957307122,77.75,1.125,2.9626260697841644
310000,-5.931896877940744,66.77996243121741,74.6875,0.25,2.520017563603103
320000,-60.42600048553868,71.6198208144796,87.25,0.875,2.7180440425872803
330000,-13.331063216803159,86.36284767055974,109.9375,3.125,3.0192717552930315
340000,-122.60478973848512,78.09972108479897,93.625,5.75,3.4670458046227406
350000,-63.06122091265206,71.4024071435961,83.1875,1.5,2.8040787279605865
360000,-49.99734150135919,68.74059929241602,80.625,3.625,2.9909953374779015
370000,-62.199345855401134,70.18172372541022,82.6875,4.875,3.0072808142564003
380000,38.074985335886595,62.72303846971582,76.25,0.625,2.560688041377837
390000,-10.698171561449271,82.88278261410721,102.625,3.75,2.966821917159878
400000,-22.94477421551528,90.79992253026718,103.6875,1.125,2.9511581361293793
