#{"t_start": 1784343121.1271448, "env_id": "None"}
r,l,t
-604.845258,318,3.453352
-479.529075,275,3.629769
-350.870922,213,3.773027
-583.306932,311,3.965119
-191.332991,230,4.077204
-589.438385,305,4.272638
-498.657387,263,4.444579
-545.752643,277,4.62139
-478.11108,258,4.797291
-475.891524,278,4.979104
-281.306795,309,5.138469
-477.426615,257,5.301185
-431.894313,221,5.439467
-471.057658,275,5.61475
-417.827844,239,5.758471
-140.976864,193,5.858532
-439.879275,250,6.028832
-407.195458,234,6.186609
-205.302374,262,6.311017
-668.039591,320,10.439937
-653.011794,320,15.022236
-591.701855,320,19.574006
-582.901236,320,24.140979
-240.99647,320,28.563281
-556.364861,320,33.182257
-525.642626,320,37.575959
-328.452261,306,41.791536
-351.029682,309,46.029345
-455.703266,320,50.438163
-277.696972,252,53.848781
-236.288858,228,56.972295
-443.219249,320,61.591396
-291.356763,297,65.692433
-344.237687,269,69.330055
-339.970862,308,73.551153
-282.469093,248,80.446344
-287.905456,258,84.03935
-12.246712,194,86.707573
33.10558,139,88.574164
-250.29458,246,92.200567
-266.934623,284,96.096803
-208.10024,226,99.186752
-261.195168,230,102.370564
-293.895072,289,106.352184
-248.116693,267,109.999256
-180.364473,212,112.9766
-298.099375,241,116.311575
-328.356888,254,119.975977
-340.546501,274,123.759169
53.479781,147,125.783977
-278.741067,260,129.33327
45.779902,166,131.594665
-220.168308,232,134.773534
41.509618,148,136.758182
-155.716936,182,139.320432
23.741324,189,141.851205
-402.97878,320,146.306323
59.067843,133,148.10975
-275.762723,274,152.109771
-186.431367,198,154.790139
-197.952073,227,157.919147
49.575208,149,159.941706
64.548419,134,161.745145
-253.430774,239,164.996857
-231.57361,257,168.55067
-152.486613,187,171.114527
-273.602771,228,174.2787
68.649201,127,176.002475
-184.956005,250,179.645234
-176.784924,206,182.582636
-232.087682,258,186.460125
-236.958572,261,190.242529
-189.43566,202,193.31343
-158.139006,189,196.239715
-147.592967,211,199.790412
-198.53464,206,202.764439
39.398026,167,205.02399
-118.068885,176,207.535791
-154.402839,245,211.211608
-223.375624,249,214.621088
-226.456028,283,218.558378
67.684785,146,222.970119
-163.432628,256,226.491689
-283.673551,285,230.494321
-223.593545,222,233.616707
-194.27441,208,236.456778
-177.007381,200,239.314664
-256.540969,225,242.592833
-200.364873,211,245.4907
-153.071452,248,248.918127
32.828097,158,251.059194
63.032189,154,253.12905
-137.799562,204,255.912492
62.439008,151,257.944592
57.948503,164,260.13288
-158.863768,210,262.989216
-108.523032,197,265.710979
-204.227407,219,268.710909
-152.001427,199,271.708899
-186.968765,217,274.703872
-169.260386,276,278.46786
-157.979421,210,281.380079
15.529542,173,283.715729
-238.327816,212,286.632635
19.011288,150,288.672564
-144.645605,206,291.456038
73.324506,138,293.347337
-335.056721,315,297.679505
-180.653537,216,300.855836
70.67907,140,302.733568
-172.102755,235,305.957211
70.730854,140,307.848643
-151.274141,197,310.550539
-126.026566,215,313.464089
-100.143133,210,316.381128
-153.402327,211,319.287488
-143.594845,210,322.167963
-50.538241,172,324.525644
80.923532,132,326.332863
-119.486471,167,328.603053
-150.804834,260,332.399146
-83.139691,177,334.862762
-137.351529,229,338.046308
-188.858291,208,340.903188
-155.771345,199,343.608832
-65.010752,195,346.301792
-196.30399,253,349.757766
-182.278753,252,353.234022
-172.357839,265,356.862163
70.32757,136,358.712884
-121.910547,231,365.013728
