#{"t_start": 1784298491.3952901, "env_id": "None"}
r,l,t
86.133254,107,2198.297793
-157.111607,194,2202.775436
-158.772731,191,2206.821643
-171.9972,260,2212.286731
-42.83165,203,2216.822034
60.506541,140,2219.971809
-172.604755,183,2224.514387
-22.563831,224,2230.175268
5.858796,160,2233.766873
-63.499452,173,2237.38459
11.320176,172,2240.9232
61.2248,123,2243.406868
-53.33062,205,2247.926433
-12.065357,161,2251.769385
77.028452,111,2254.368109
-198.412488,227,2260.445277
-142.136525,266,2266.606399
-198.96883,237,2271.974796
-50.212239,243,2277.950283
-140.664736,260,2284.403064
-136.441311,184,2289.538103
-135.010116,199,2294.932399
-64.946506,246,2300.546308
-74.001203,269,2306.863999
-128.856194,269,2313.238635
-108.042396,217,2319.00061
32.374698,163,2322.803493
-188.894382,305,2329.238041
-90.173089,241,2334.883126
-214.846138,223,2344.458397
-118.094843,291,2351.986954
-94.896183,228,2356.783471
-83.003237,177,2360.519281
-50.298345,174,2364.138006
-86.848205,256,2369.475649
-196.790231,269,2375.239585
-42.705429,221,2380.250648
2.654445,191,2384.406621
72.879584,111,2386.62961
76.729598,121,2389.111075
-123.61519,229,2394.268389
-58.936285,201,2399.028702
-37.635879,187,2402.965514
-180.749679,224,2408.003558
-207.506638,274,2413.664787
-121.909791,204,2417.919128
-80.248056,251,2423.417063
70.211418,118,2425.998419
-178.439578,207,2430.403853
-27.838626,183,2434.190013
-89.037318,270,2440.207985
-218.616832,265,2445.698208
-76.843786,214,2450.12343
-99.104287,307,2456.635159
-124.212351,229,2461.412019
-180.589357,260,2466.987491
-44.031291,212,2471.571081
-155.261035,183,2475.369307
-111.196935,196,2479.414823
65.365446,126,2482.091934
-118.888643,228,2486.798171
-131.242243,223,2491.379585
-1.427895,159,2494.634107
-60.900057,241,2500.030829
-148.358226,218,2504.606334
67.285524,129,2507.266448
-144.524622,175,2510.833999
90.410523,108,2513.018781
-22.027657,184,2516.855443
-140.670742,214,2521.283888
-199.080036,302,2527.982426
-136.424505,262,2533.77104
-160.422902,189,2537.7029
-146.958599,213,2542.119494
-102.693967,274,2547.894334
68.619855,130,2550.551354
-85.619208,225,2555.2354
69.385299,120,2561.812577
-86.072258,245,2567.202093
-76.748062,251,2572.622246
75.204389,113,2574.971699
-220.52804,266,2580.628259
-204.945658,228,2585.342946
-96.820646,227,2590.437199
90.190774,108,2592.647968
-84.856208,255,2597.961989
-181.774525,219,2602.47103
76.589466,113,2604.757362
-188.995829,228,2609.446238
-30.619377,185,2613.342305
-33.542457,199,2617.836078
61.401927,141,2620.794266
-151.677369,196,2624.925173
80.790872,110,2627.148687
-110.645604,232,2631.931998
-80.27452,202,2636.123456
-169.930472,313,2642.555537
-72.822795,209,2647.116729
77.721787,110,2649.583461
-82.152355,243,2654.663957
57.30529,140,2657.533007
-78.242655,278,2663.178633
-113.654745,195,2667.232341
-46.523589,206,2671.495822
-115.118101,239,2677.075346
-358.06375,320,2684.143493
43.344616,152,2687.333129
-150.114595,258,2692.579406
-90.084518,230,2697.327481
-105.076445,269,2702.954918
68.08107,121,2705.455928
-87.721377,275,2711.658136
-57.669778,222,2716.491086
-114.656165,270,2722.071253
-250.648654,320,2729.248377
83.168176,116,2731.80201
5.053185,180,2735.998285
-161.415673,218,2741.169641
-49.759783,220,2745.786613
-129.495862,174,2749.633278
-121.879321,226,2754.99416
-44.058372,234,2759.905856
-124.252816,230,2764.700891
-168.154723,247,2770.182969
-50.172716,180,2773.941924
-232.532275,315,2784.526784
-83.515052,254,2789.790976
59.866585,145,2792.778652
-57.986667,225,2797.920575
82.51431,111,2800.239316
-125.547346,253,2805.572773
0.647498,160,2808.890897
-31.641063,242,2813.758471
-17.760043,195,2817.803757
62.498428,138,2820.686948
69.84069,117,2823.055733
72.390547,114,2825.440479
-2.085113,187,2829.89618
-8.813903,184,2833.717708
-29.378738,187,2837.67823
-171.686062,223,2842.225131
-48.642814,218,2846.72569
-184.284746,272,2852.324
-179.039856,273,2858.632299
-29.693677,201,2862.909174
-29.022581,215,2867.420277
85.158752,109,2869.612651
80.364289,114,2872.0991
-5.721148,193,2876.793421
-229.58909,250,2883.864067
-154.557905,183,2889.539126
-51.034174,232,2897.065008
-185.953919,253,2905.675318
85.071132,110,2908.947492
72.991207,134,2913.247695
-61.760679,233,2920.404457
2.856781,176,2925.108144
78.86558,120,2927.712646
38.867153,161,2931.059896
-48.949869,192,2934.996058
-79.768054,244,2940.183726
81.766438,111,2942.439929
59.399361,143,2945.446196
-81.053295,182,2949.894427
-53.073177,238,2954.868371
-20.570938,167,2958.307768
-29.933308,204,2962.534719
-14.610548,157,2965.861229
-69.141898,258,2971.455892
-69.271497,225,2976.190851
-147.348227,247,2981.74485
-175.879892,234,2986.60928
-137.947463,279,2992.42175
-218.783296,320,2999.449387
-163.667373,273,3005.129288
-36.618329,212,3014.447502
-143.281334,239,3020.374636
-49.169364,199,3024.831052
70.538576,136,3027.671037
59.659419,146,3030.704147
-31.932154,185,3034.613741
-119.115718,274,3040.8936
-151.72658,203,3045.446458
-83.969473,252,3050.932853
-133.097801,213,3055.347152
-138.093221,256,3060.693629
-162.824537,226,3065.417552
-42.440632,236,3070.699804
-82.169795,211,3075.117224
-168.538401,197,3079.583418
-120.098457,183,3083.377104
69.724836,115,3085.748391
-87.606874,310,3092.399262
-62.11528,216,3097.145832
