timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-150.5470924119145,82.55328213336398,84.5625,8.875,3.748268497228154
20000,-113.80207141207211,84.3156589761468,92.3125,7.0,2.8732498963199387
30000,-177.34034524910567,62.746178189158556,66.8125,4.75,3.9203584504592603
40000,-165.0360233179681,83.85986964046776,85.125,6.125,3.4218793160586145
50000,-75.26265634955053,79.55041723138422,77.25,1.375,3.029797524213791
60000,-43.8491866293989,94.4585082585939,95.625,6.75,3.581274299300799
70000,-110.40035094309133,87.7814971490089,91.125,2.75,3.631191789829177
80000,-44.890021917497734,79.69309378187161,96.875,1.25,3.200249824079341
90000,-91.55042897175008,67.50557072530499,73.375,0.375,2.936301678419113
100000,-18.153072521662125,86.94487776262127,95.5,2.125,3.1237453669309616
110000,-4.0326197130198125,87.24053789617042,95.375,3.5,3.017138427876146
120000,37.472165267554374,89.62709880695556,92.875,3.0,3.0258689021140555
130000,-131.76510009505728,72.41425225110524,85.5,7.125,3.4857238084077835
140000,-5.396568009247858,86.65546937175951,93.5,4.0,3.2850638169652644
150000,-108.73658681297388,90.34369739362224,102.625,10.75,3.951358709548609
160000,-29.742285838603493,88.1316180610763,96.8125,7.0,2.9549173813815033
170000,-38.03672553137585,85.94663565130531,95.3125,1.875,3.1892984700910887
180000,-25.564237631493597,80.23228622288563,86.8125,3.375,3.3257432647543266
190000,-11.057003126268683,87.93187802448118,97.9375,1.75,3.048809742095429
200000,-9.284840163210902,90.83066314156694,95.125,4.75,2.9170721620321274
210000,-13.125120860378956,99.09634632932693,130.0,5.0,2.9334590137004852
220000,-26.168902578631787,70.79204899217811,83.25,4.0,4.097064454927709
230000,16.501094978157198,77.49684434978094,77.875,0.875,3.0899372465609485
240000,-102.71687774503653,67.09086243969426,88.1875,3.0,3.1448468800070524
250000,-62.18488991812774,73.63768461296472,83.0625,3.625,3.957064556060421
260000,0.24997571743733715,86.0206141633875,93.875,2.75,3.366359199296574
270000,-32.23267342996053,88.46521606274548,100.875,6.0,3.4370647678968957
280000,-55.24383191868037,91.2792454238013,101.25,4.125,3.5879654581186653
290000,35.61108502394245,85.85228186077302,100.6875,4.5,3.15863912077457
300000,-34.03776094269415,77.94390670883948,81.4375,1.375,3.1416607180427913
310000,-44.637715591376036,79.66777508652945,89.75,2.75,3.7861109126414743
320000,-54.47188436860051,85.07870750616209,102.3125,5.25,3.111391747919516
330000,-40.167886281138635,78.29472563745168,94.375,4.0,4.272120171297766
340000,-46.3897492702672,64.39307365869858,83.125,1.375,2.861277804757636
350000,-60.09540420716803,80.66327572849478,91.875,1.375,3.1348633468151093
360000,-18.44551084795421,80.91218820129862,91.0,8.375,3.6952743839760513
370000,-57.91153185436269,84.25243506278882,88.9375,3.375,3.792075176030207
380000,-77.52353670380035,86.25522528331223,103.0625,7.0,3.79208525783178
390000,-58.514512639016175,94.61441287309064,102.75,5.25,3.8458187619162505
400000,-81.58497562923594,62.85168116747967,69.6875,2.625,4.237626369177338
