seed,arrived,timeout,red_run,collision,travel_time_s,total_fuel_mL,stop_steps,max_abs_jerk,leader_present,n_steps,guard_a1_count,guard_a4_count,guard_rate,driver
524,True,False,False,False,111.5,92.03171335336519,3,10.996408462524414,True,223,2,4,0.026905829596412557,baseline_guarded
525,True,False,False,False,159.0,105.73718967900143,0,8.0,True,318,0,0,0.0,baseline_unguarded
525,True,False,False,False,159.5,115.47092734805273,22,10.70923137664795,True,319,0,40,0.12539184952978055,baseline_guarded
526,True,False,False,False,118.0,87.76093242065646,22,4.826921463012695,True,236,0,0,0.0,baseline_unguarded
526,True,False,False,False,118.0,98.40874808325053,64,10.987711906433105,True,236,2,6,0.03389830508474576,baseline_guarded
527,True,False,False,False,102.0,75.65182061599256,0,3.436434268951416,True,204,0,0,0.0,baseline_unguarded
527,True,False,False,False,102.0,77.65453416464698,0,10.62097454071045,True,204,2,2,0.0196078431372549,baseline_guarded
528,True,False,False,False,118.5,74.56311430289031,0,8.0,True,237,0,0,0.0,baseline_unguarded
528,True,False,False,False,118.5,74.83860987667191,3,8.0,True,237,3,8,0.046413502109704644,baseline_guarded
529,True,False,False,False,65.5,69.1645234282714,0,3.235732078552246,False,131,0,0,0.0,baseline_unguarded
529,True,False,False,False,65.5,69.1645234282714,0,3.235732078552246,False,131,0,0,0.0,baseline_guarded
