#{"t_start": 1784365358.5882938, "env_id": "None"}
r,l,t
-106.871042,223,3.135662
-506.989307,292,3.320913
-554.969501,309,3.512228
-542.273584,275,3.68635
-425.083616,240,3.834534
-180.47829,207,3.938591
-654.804009,309,4.125931
-556.616713,285,4.325469
-645.499794,320,4.537206
-454.305815,265,4.777887
-581.24488,304,4.966237
-498.488473,304,5.166928
-237.466754,284,5.317309
-485.855633,273,5.505572
-593.344475,294,5.699905
-189.973535,214,5.806813
-651.185516,320,6.006968
-464.037655,239,6.159828
-679.579483,320,11.127116
-333.660713,320,17.451035
-281.66724,320,22.754285
-579.431052,320,27.520196
-561.80203,320,32.344845
-504.492371,320,37.074989
-488.396864,320,41.769229
-348.900159,298,47.095466
-388.927674,307,52.099655
-483.905169,320,56.727406
-394.254518,320,62.031962
-259.573524,249,65.812431
-26.306066,272,70.149657
2.122414,229,74.285561
-274.318587,248,79.844083
-244.264657,246,83.84036
-260.573548,271,87.99702
-196.926331,222,95.216042
-216.852096,231,99.248257
-211.924864,199,102.634351
-238.037048,223,109.384923
-170.241682,188,113.095876
-208.968827,231,117.690795
-11.975778,246,122.471586
-159.70839,203,126.198487
-265.883279,271,130.707599
-250.427845,249,135.309926
54.060916,135,139.742567
47.613551,183,144.43878
-248.412783,262,148.706913
-231.997152,218,151.66929
58.679305,154,154.143596
-245.267321,237,157.488186
-330.033702,293,162.287964
52.699456,165,165.052031
-193.679367,232,169.439847
-132.242517,203,174.284244
-165.889127,205,178.451049
-99.657324,194,182.708122
-139.472917,188,186.432076
-330.359333,288,191.733038
-111.611331,174,194.684923
-268.748884,257,198.852163
-145.322296,246,203.000201
-187.5629,235,207.465739
-215.365099,223,211.484626
-42.567928,189,214.363189
-239.674422,220,217.968369
-272.440087,298,222.207653
-189.504429,276,227.345944
-121.680577,218,230.875583
-262.375214,279,236.192505
6.303125,198,239.343709
-80.964062,173,242.160174
-180.701955,249,245.802373
14.072637,171,248.190536
-150.67392,196,252.010519
-189.36145,255,256.367093
-228.823527,213,259.890805
83.589641,119,261.941613
-140.215866,260,265.972251
-138.700985,217,269.368473
-212.336498,195,276.433496
-169.163608,224,280.753544
-98.2782,175,283.42886
-194.831729,227,287.233861
-74.642047,180,290.176656
-40.442104,175,293.00061
-178.65667,221,296.372593
-202.166468,261,300.908112
-83.572753,223,304.724206
28.286587,171,308.293661
-112.655339,229,313.087645
75.56609,128,315.627468
-176.292429,234,319.87114
-90.457698,238,324.425436
-152.385835,234,328.099739
-135.21637,197,331.277924
-131.973269,215,334.335683
-156.503495,208,337.842096
-138.5991,246,342.503763
-209.146776,264,347.206267
35.329751,180,350.638267
59.043322,141,353.131718
-192.972434,316,358.33812
74.847529,137,360.248173
-150.61117,235,363.570987
-96.074102,230,366.784725
-72.152181,237,370.441183
-22.036603,205,374.317585
-69.500896,200,377.492208
-100.466856,243,380.969505
27.811432,190,384.299639
85.093656,143,386.585592
75.809138,143,388.863741
23.612413,186,392.03962
-44.274429,202,395.237844
-129.036955,250,400.710801
-149.647988,203,404.754758
-65.364833,221,408.063816
-178.405536,265,411.521503
-108.309759,231,414.541609
72.152284,121,416.438148
-95.829916,202,419.747024
-172.88209,294,424.505446
-131.164816,253,428.601822
-149.714921,286,432.879311
78.026043,137,1773.938626
38.404816,173,1817.707367
-201.622212,248,1824.111194
-189.13923,215,1833.076429
-196.159781,271,1839.566223
-96.858124,238,1846.000626
-135.444951,270,1849.946429
-90.994115,190,1852.728785
-170.805497,230,1856.133087
-206.438539,246,1860.239773
77.604031,139,1866.871402
-56.340227,219,1873.540846
-57.810849,210,1878.221555
-183.282541,238,1882.424092
-236.770096,269,1888.5805
-24.573851,201,1893.126984
79.523708,117,1894.767645
91.622261,135,1896.478137
79.224661,149,1898.358526
-138.488238,210,1901.197407
-166.807339,249,1904.355511
70.995699,124,1905.858174
67.687972,147,1907.615065
-123.425426,230,1910.400605
71.138781,163,1912.322964
-103.215919,220,1914.990597
89.589549,108,1916.267002
-63.783188,226,1919.015885
-96.016286,256,1922.102315
35.466597,177,1924.291762
83.076022,144,1926.008618
-147.078624,230,1928.766717
-124.882621,248,1931.792631
-186.180777,228,1934.747885
-180.308073,195,1937.06844
-165.974707,315,1940.864579
22.056074,192,1943.135364
83.744705,139,1944.823303
72.722319,130,1946.344309
-167.714935,247,1949.360301
-173.431522,197,1951.719123
-145.501242,279,1955.108633
85.270032,145,1956.969373
-178.19219,231,1959.768856
-120.827054,253,1962.807814
-89.250433,265,1966.208867
-97.268326,258,1969.321989
-84.225281,210,1971.81148
-97.517645,236,1974.635567
72.945131,148,1976.371394
-173.404822,271,1979.633287
-103.972622,216,1985.036225
82.331486,148,1987.10984
84.48102,134,1988.883117
-121.040954,262,1992.468723
-117.243468,238,1995.926072
-63.458515,213,1998.838609
-114.1992,309,2002.991175
-183.962583,218,2005.932981
-124.222145,228,2008.98155
-56.597771,202,2011.66607
-35.480869,196,2014.368636
-134.512675,229,2017.458771
-92.746517,209,2020.364439
-133.166992,213,2023.22916
64.260129,163,2025.43329
-119.90697,212,2027.953168
-225.137476,273,2031.235975
-115.308623,252,2034.261058
-159.195346,192,2036.547112
-111.885367,217,2039.169508
-80.603494,190,2041.433448
-114.511961,223,2044.14499
76.415507,128,2045.650218
-183.137834,212,2048.198266
-91.08521,239,2051.077066
-135.255914,309,2054.998902
70.75334,158,2056.860719
-150.002355,239,2059.73302
73.46157,114,2061.070385
-189.970369,253,2064.092686
-46.852271,200,2066.473767
-108.444676,238,2069.3696
-184.696299,261,2072.522341
74.040885,146,2074.242593
68.780833,145,2075.941613
-24.018739,227,2078.681409
69.885962,110,2080.024863
83.389822,105,2081.302443
-172.730213,212,2083.977719
-125.396765,207,2086.528621
-178.637733,213,2089.0918
-131.220009,223,2091.733437
72.422376,131,2093.264179
-82.445059,205,2095.738146
70.562121,146,2097.456746
-154.451914,199,2099.866695
-5.708422,190,2102.167784
-127.47972,248,2105.218586
-165.957569,200,2107.62963
-92.916605,228,2113.333592
-120.776395,200,2116.640383
-155.869669,215,2119.591852
-180.283783,248,2123.072137
-142.792589,214,2126.340559
82.929577,123,2128.277265
40.555568,159,2130.459908
-145.820571,240,2133.713491
-196.428187,200,2136.415026
74.480583,137,2138.263239
-126.826767,224,2141.407628
-48.226011,189,2144.156765
-28.438233,208,2147.05777
-62.878882,199,2149.799442
-139.58053,256,2153.228838
-118.635096,229,2155.984572
-84.36787,267,2159.230226
-103.725987,230,2162.046193
-147.658624,268,2165.25415
-124.961849,200,2167.668781
-85.18449,246,2170.615153
-201.752704,234,2173.431887
-28.332615,224,2176.296643
63.154604,149,2178.047759
-139.786055,180,2180.223821
-17.451433,213,2182.795419
-125.127051,297,2186.354948
-133.08038,262,2189.49634
-72.640725,257,2192.583212
