timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-210.70899740080586,67.42294216628733,124.875,11.125,9.045511072596753
20000,-141.89491312703467,72.31263905541822,103.875,3.0,8.665512263774872
30000,-145.2165173109297,84.65094159704444,115.375,13.0,8.575077477251005
40000,-124.92408084226736,92.77144822240878,110.8125,9.375,9.317412972450256
50000,-87.96508059086045,78.06932872476888,99.125,9.625,7.964366167783737
60000,-84.76326358170991,80.61023469500026,111.375,14.25,7.018497797514113
70000,-100.36669324532886,76.76096245815901,105.625,5.75,6.845382377505302
80000,-34.372552884442484,72.79740546168138,98.0,2.0,7.23565164180948
90000,-34.56778910914727,74.27915730245914,102.1875,2.5,5.636740581681761
100000,-101.41290931974436,86.85248367800477,109.6875,14.625,8.277818277478218
110000,-96.88630838919926,86.13090467223964,121.625,5.0,8.876282930374146
120000,-100.93191298798047,83.9051799099927,110.125,15.0,7.990204979592981
130000,-91.06310274084626,82.99998185056238,111.4375,8.25,7.060009540389215
140000,-18.137392131278403,65.65138349173552,97.5625,5.25,5.77174286544323
150000,-95.10536648060224,87.06538393685918,112.4375,8.75,8.033169880509377
160000,-55.99338691079174,77.6536560789515,94.4375,7.0,6.125884605894669
170000,-82.98722494914546,79.69805745677436,107.375,2.5,5.976760192092748
180000,-59.026843527859455,80.20483524272943,104.0625,12.75,7.163077414035797
190000,-54.56551129434774,79.84245757249838,110.25,2.625,6.404771730228402
200000,-40.137868738707766,80.88621337972236,105.25,4.125,6.195254936814308
210000,-60.22560246628632,83.49855879858126,120.25,5.25,6.630922059124565
220000,-37.59283098499873,75.80049985405805,102.0625,4.0,6.197720617055893
230000,-78.23911292150297,90.19588756055208,125.125,7.75,7.423298731446266
240000,-96.5603957020212,89.96430301122874,126.8125,12.5,7.453859798343014
250000,-83.70663165038422,87.61377951413522,116.8125,7.875,7.197316024697155
260000,-57.21437195809267,85.05687476800918,110.4375,6.25,7.814734011888504
270000,-44.219154819447795,79.59044783910454,108.0625,2.25,7.667198017239571
280000,-45.795018646953395,80.03595049522025,102.875,4.625,7.907149568200111
290000,-63.85615405853241,77.8378365419371,106.6875,3.75,7.288776487112045
300000,-20.82029492213769,78.50175485634183,105.3125,1.5,6.433036416769028
310000,-29.098723524075467,74.04091285198561,94.75,3.875,6.3500277400016785
320000,-46.68000025990841,81.53440142139209,109.75,5.125,5.658398911356926
330000,-78.13436888433353,81.45391547731104,112.5,9.75,6.270412005098258
340000,-49.2584229890781,78.9505543025178,112.0625,1.375,6.434243870202569
350000,-28.03828216695547,78.43583213538056,112.875,1.875,6.372332431882954
360000,-53.615733102451486,77.29714251725065,98.6875,10.125,5.618433818221092
370000,-51.51133871075217,77.14918623801526,109.375,3.375,6.557460218667984
380000,-50.13515858750179,76.48306378718328,100.375,0.75,4.911490774272726
390000,-59.194139830826316,75.92262460342741,104.125,4.375,5.9260261952877045
400000,-11.323987305710034,73.84951680936537,103.9375,5.0,4.583238169550896
410000,-51.764226845015855,72.47730178041658,102.125,8.5,4.968827977776527
420000,-47.41335681360215,77.90610583693648,101.625,5.5,5.608696509441625
430000,-58.85329165815165,77.03360940184992,107.5625,6.25,6.254522159695625
440000,-88.48216317500919,83.36860937831595,117.375,8.375,6.039077926078797
450000,-31.839241866764496,73.62710308593313,104.75,1.375,5.749666948591508
460000,-59.05514788384244,71.30915067049318,107.375,4.875,5.795968916682437
470000,3.4259645496822486,66.20035704660533,95.625,2.625,4.158834004099891
480000,-78.08986736924817,82.5799945674562,108.0625,10.5,5.562158377754744
490000,-75.12476444838103,87.91007272449015,121.9375,10.75,7.101031184196472
500000,1.8945116775284987,70.90947776218172,102.5625,0.25,4.003448486328125
510000,-28.93028662429424,76.59917042151181,96.75,3.75,5.09702143073082
520000,-63.237404347491974,71.9881572055918,109.4375,5.25,5.231886059045792
530000,-44.94803062191522,79.6976768720583,101.9375,1.75,5.753000035881996
540000,-84.15527349813783,81.50608090488271,118.1875,9.0,7.026837201892256
550000,-21.368789246425877,74.24251601882511,105.875,5.75,4.753946423530579
560000,3.863237837886345,71.5694460076759,101.0625,1.0,5.083376804033129
570000,5.600101767806336,72.92954283896914,100.25,2.375,3.8664983808994293
580000,-33.896521841932554,74.28836324008638,103.9375,0.625,4.472197040915489
590000,-39.460017654630064,76.86905734548732,107.625,3.75,5.7265180770980395
600000,-7.764957727173169,68.60099369008313,94.625,5.0,5.583090394735336
610000,-56.62932015672868,87.06809718279341,122.0625,4.875,6.415215641260147
620000,-57.807643476047815,78.73935328026936,105.125,3.625,6.608315915047717
630000,-71.64802080962727,84.60422513234069,119.9375,9.125,7.131251284246311
640000,-56.134765432147105,79.06445641577909,113.125,2.125,6.237977758049965
650000,-63.337105209302536,78.46933263221578,105.9375,1.875,6.57141150534153
660000,-75.53967044509727,81.96326709310446,114.3125,6.625,5.313381580360477
670000,-32.9659263997537,74.72841954452724,109.5625,6.125,5.966526442353027
680000,-22.691676506690783,75.16326351420011,108.8125,1.875,4.324492916464806
690000,-95.72059139321209,85.81833417200242,117.8125,7.75,5.749413528517623
700000,-77.99256207038889,80.74221497864761,115.9375,4.375,6.165992125868797
710000,-66.00498258421794,79.43303049630373,97.0625,8.75,6.190894781265563
720000,-23.331638767951517,73.23075519641844,99.375,6.25,6.206667959690094
730000,-16.65297544749592,68.70333200932319,97.5,1.125,4.32259251401557
740000,-87.62363321101202,87.39343692533696,119.0,6.375,6.479687279051763
750000,-28.05384273295749,68.40487873868683,99.875,7.625,4.3883588586043425
760000,-25.1389002972428,77.82248435662055,103.125,4.25,6.7404092761353045
770000,-11.00574451958073,67.9324131951885,96.5,7.875,4.407902257226566
780000,-32.83993730946895,74.95659460242703,99.8125,2.625,6.348210766911507
790000,-27.924769180961448,75.24515586851571,100.125,4.125,4.472836137395444
800000,-11.95421177289245,74.71767302151233,104.25,2.125,4.905926674604416
810000,-47.56546561647701,79.62034534508523,113.5625,4.125,4.99894542992115
820000,-55.71932080540137,77.69242672783956,108.625,6.875,5.846219198753571
830000,-48.359531016929395,80.90510715037065,111.125,7.625,4.326423719406856
840000,-84.19102451071922,78.01287075946176,112.6875,9.25,4.835215052421128
850000,-54.89761212136534,77.99771188777768,104.375,4.75,6.662389755249023
860000,-50.506690087113384,82.96185666909031,118.875,4.875,5.23742159538236
870000,-38.94920093223482,73.68383612678727,97.25,3.625,5.116853401064873
880000,-29.47274044378719,74.60223950698277,108.8125,2.625,5.567391216754913
890000,-56.47276106787672,78.2649006945626,105.875,4.0,7.153525099158287
900000,-64.41356963162161,76.83930919443767,107.25,7.0,3.943753333275194
910000,-41.75069510533649,69.98300153665397,101.8125,8.5,5.083423895235731
920000,-17.164677764609223,64.26550605559639,91.6875,1.0,4.124153256416321
930000,-39.48125479898863,72.48327931089385,103.625,9.5,4.12650817918794
940000,-54.387560821422085,79.49604149417085,113.9375,8.125,5.168837799908058
950000,-75.41911267824912,86.10908432591553,116.5625,3.875,6.736888805831452
960000,-40.62618094436766,79.36644484403736,109.0625,1.5,4.910472714858656
970000,-48.70643734866462,83.20057222118682,109.4375,2.25,6.6755068301487315
980000,-51.25155700586038,72.55227909814681,105.875,4.375,3.620423823595047
990000,-32.99499565658152,72.07680215159527,102.6875,5.125,3.855892465316005
1000000,-19.272631135634583,74.55140290339273,107.25,1.125,4.98506963517755
